precio,expensas,metros,ambientes,banos,direccion,barrio
USD 68.900,$ 78.000 Expensas,35 m² tot.,2 amb.,1 baño,Rodríguez Peña y Avenida Corrientes,"San Nicolás, Capital Federal"
USD 98.900,$ 196.149 Expensas,53 m² tot.,3 amb.,1 baño,Cespedes Y AV. Alvarez Thomas 2°,"Colegiales, Capital Federal"
USD 260.000,,245 m² tot.,8 amb.,,Tucumán al 1400,"Tribunales, Capital Federal"
USD 114.000,$ 250.000 Expensas,50 m² tot.,3 amb.,1 baño,Rodriguez Peña  al 100,"Congreso, Capital Federal"
USD 120.412,,36 m² tot.,1 amb.,1 baño,Amenábar al 1000,"Colegiales, Capital Federal"
USD 171.400,,62 m² tot.,2 amb.,1 baño,Gallo  al 700,"Abasto, Capital Federal"
USD 105.000,$ 100.000 Expensas,25 m² tot.,1 amb.,1 baño,Virrey Loreto al 2400,"Belgrano, Capital Federal"
USD 2.950.000,$ 3.872.560 Expensas,668 m² tot.,5 amb.,4 baños,Av. Alvear 1400,"Recoleta, Capital Federal"
USD 65.000,,49 m² tot.,3 amb.,1 baño,Tucuman 1500,"Tribunales, Capital Federal"
USD 109.000,$ 300.000 Expensas,74 m² tot.,,,Maipu al 700,"San Nicolás, Capital Federal"
USD 320.000,,247 m² tot.,5 amb.,1 baño,Nahuel Huapi e/ Burela y Altolaguirre,"Villa Urquiza, Capital Federal"
USD 154.900,$ 200.000 Expensas,69 m² tot.,3 amb.,1 baño,Fernandez de Enciso al 4200,"Villa Devoto, Capital Federal"
USD 327.600,,79 m² tot.,1 amb.,1 baño,Av. Cabildo al 3500,"Núñez, Capital Federal"
USD 105.000,$ 280.000 Expensas,60 m² tot.,4 amb.,1 baño,Marcelo T de Alvear 1300,"Recoleta, Capital Federal"
USD 1.180.000,,264 m² tot.,1 amb.,2 baños,Avenida Córdoba  al 6100,"Palermo Hollywood, Palermo"
USD 805.000,,168 m² tot.,4 amb.,3 baños,Lacroze al 1900,"Belgrano, Capital Federal"
USD 119.000,$ 147.000 Expensas,41 m² tot.,1 amb.,1 baño,Viamonte  al 1600,"San Nicolás, Capital Federal"
USD 720.000,$ 1.100.000 Expensas,161 m² tot.,3 amb.,2 baños,Juana Manso al 1300,"Puerto Madero, Capital Federal"
USD 128.000,,118 m² tot.,4 amb.,1 baño,Carlos Calvo 2183,"San Cristobal, Capital Federal"
USD 300.000,,80 m² tot.,1 amb.,1 baño,Torre Qiub Juan b Justo y Honduras,"Palermo Hollywood, Palermo"
USD 305.000,,88 m² tot.,1 amb.,1 baño,Torre Qiub Juan b Justo y Honduras,"Palermo Hollywood, Palermo"
USD 189.900,,247 m² tot.,3 amb.,1 baño,Montiel al 1500,"Naón, Mataderos"
USD 375.000,,365 m² tot.,4 amb.,2 baños,Mariano Acha  3400,"Saavedra, Capital Federal"
USD 115.000,,52 m² tot.,2 amb.,1 baño,Tinogasta al 3100,"Villa del Parque, Capital Federal"
USD 198.000,,137 m² tot.,4 amb.,2 baños,Primera Junta al 3800 PB,"Parque Avellaneda, Capital Federal"
USD 99.900,$ 48.500 Expensas,57 m² tot.,3 amb.,1 baño,José Juan Biedma al 500,"Caballito Norte, Caballito"
USD 210.000,$ 260.000 Expensas,112 m² tot.,4 amb.,2 baños,"CERETTI 2100. Entre Olazabal, Av. y Fouiller, Felix O.","Villa Urquiza, Capital Federal"
USD 245.000,,157 m² tot.,4 amb.,2 baños,Avalos 1190,"Parque Chas, Capital Federal"
USD 121.000,$ 171.200 Expensas,41 m² tot.,1 amb.,1 baño,Vuelta de Obligado al 3200 7°,"Núñez, Capital Federal"
USD 149.000,$ 220.000 Expensas,72 m² tot.,3 amb.,1 baño,Billinghurst 900,"Palermo, Capital Federal"
USD 258.000,$ 250.000 Expensas,123 m² tot.,3 amb.,1 baño,Cabello 3600,"Palermo Chico, Palermo"
USD 500.000,,250 m² tot.,,1 baño,Av. L. N. Alem al 1000,"Centro / Microcentro, Capital Federal"
USD 450.000,,1091 m² tot.,,,AV DE LOS Incas  al 4200,"Villa Ortuzar, Capital Federal"
USD 108.000,$ 128.275 Expensas,30 m² tot.,1 amb.,1 baño,Scalabrini Ortiz 1650 3º,"Palermo Soho, Palermo"
USD 195.000,$ 237.414 Expensas,57 m² tot.,2 amb.,1 baño,Scalabrini Ortiz 1650 6º,"Palermo Soho, Palermo"
USD 260.000,$ 490.000 Expensas,62 m² tot.,2 amb.,2 baños,Dorrego al 1700,"Palermo Hollywood, Palermo"
USD 123.000,$ 250.000 Expensas,39 m² tot.,2 amb.,1 baño,Av Forest al 1500,"Belgrano R, Belgrano"
USD 133.950,,47 m² tot.,2 amb.,2 baños,Vuelta de Obligado 2391 - Piso 1 Departamento B,"Belgrano, Capital Federal"
USD 49.990,$ 140.000 Expensas,36 m² tot.,2 amb.,,Lavalle al 2600,"Balvanera, Capital Federal"
USD 88.000,,58 m² tot.,3 amb.,1 baño,Cortina 28,"Villa Luro, Capital Federal"
USD 165.000,$ 430.000 Expensas,70 m² tot.,4 amb.,2 baños,F. D. Roosevelt  al 2100,"Núñez, Capital Federal"
USD 190.000,$ 270.000 Expensas,133 m² tot.,4 amb.,2 baños,Ecuador al 500,"Balvanera, Capital Federal"
USD 630.000,$ 540.080 Expensas,193 m² tot.,4 amb.,3 baños,CAMPICHUELO 79. Entre Av. rivadavia y Yerbal,"Caballito, Capital Federal"
USD 700.000,,1581 m² tot.,,,castro barros  1400,"Boedo, Capital Federal"
USD 199.000,$ 500.000 Expensas,69 m² tot.,3 amb.,1 baño,Olleros 4146,"Chacarita, Capital Federal"
USD 95.000,$ 200.000 Expensas,38 m² tot.,1 amb.,1 baño,Olleros 4144,"Chacarita, Capital Federal"
USD 89.000,$ 100.000 Expensas,39 m² tot.,1 amb.,1 baño,Combate de los Pozos 280,"Congreso, Capital Federal"
USD 250.000,$ 644.722 Expensas,88 m² tot.,3 amb.,2 baños,MANUELA PEDRAZA 2500. Entre Amenabar y Ciudad De La Paz,"Núñez, Capital Federal"
USD 123.800,$ 70.000 Expensas,54 m² tot.,2 amb.,1 baño,Combate de los Pozos 280,"Congreso, Capital Federal"
USD 1.250.000,,660 m² tot.,7 amb.,6 baños,"DE LOS INCAS, AVDA. 3867. Entre Estomba y Tronador","Belgrano R, Belgrano"
USD 930.000,,500 m² tot.,,7 baños,Olazabal al 2000,"Belgrano, Capital Federal"
USD 239.000,,137 m² tot.,4 amb.,2 baños,Beruti 3676,"Palermo, Capital Federal"
USD 135.000,$ 229.520 Expensas,41 m² tot.,1 amb.,1 baño,OLLEROS 2400. Entre Av. Cabildo y Zapata,"Belgrano, Capital Federal"
USD 500.000,$ 2.150.000 Expensas,250 m² tot.,,2 baños,Alem 1002,"Retiro, Capital Federal"
USD 685.000,,261 m² tot.,,,Alem 822,"Retiro, Capital Federal"
USD 1.280.000,$ 1.800.000 Expensas,192 m² tot.,3 amb.,3 baños,Azucena Villaflor 600,"Puerto Madero, Capital Federal"
USD 434.500,$ 453.780 Expensas,204 m² tot.,,1 baño,Ciudad de la Paz al 3700,"Saavedra, Capital Federal"
USD 24.000,$ 500 Expensas,13 m² tot.,,,Cochera Escalada al 900,"Villa Crespo, Capital Federal"
USD 12.000,$ 1.300 Expensas,13 m² tot.,2 amb.,1 baño,Peron 2735,"Balvanera, Capital Federal"
USD 125.000,$ 169.711 Expensas,51 m² tot.,2 amb.,1 baño,TORRENT 1300. Entre Arismendi y Av. De Los Incas,"Villa Urquiza, Capital Federal"
USD 570.000,$ 16.000 Expensas,240 m² tot.,2 amb.,1 baño,Posadas al 1300 y Montevideo,"Recoleta, Capital Federal"
USD 305.000,,252 m² tot.,4 amb.,2 baños,Espinosa 2000,"La Paternal, Capital Federal"
USD 3.260.000,,568 m² tot.,,,Av. del Libertador 1050,"Recoleta, Capital Federal"
USD 179.000,$ 210.000 Expensas,73 m² tot.,2 amb.,2 baños,Avenida Callao al 1300,"Recoleta, Capital Federal"
USD 16.000,,12 m² tot.,,,Cochera Lafuente 37,"Flores, Capital Federal"
USD 16.000,,12 m² tot.,,,Cochera Lafuente 37,"Flores, Capital Federal"
USD 20.000,,12 m² tot.,,,Carlos Calvo 1530 Cochera,"Constitución, Capital Federal"
USD 16.000,,12 m² tot.,,,Cochera Lafuente 37,"Flores, Capital Federal"
USD 750.000,$ 35.000 Expensas,300 m² tot.,8 amb.,4 baños,Av. Cordoba 323,"Catalinas, Retiro"
USD 180.000,,40 m² tot.,1 amb.,1 baño,Bartolome Mitre al 1400,"Centro / Microcentro, Capital Federal"
USD 22.000,,16 m² tot.,,,Pringles al 400,"Villa Crespo, Capital Federal"
USD 760.000,,90 m² tot.,2 amb.,1 baño,Azucena Villaflor 500,"Puerto Madero, Capital Federal"
USD 2.300.000,,206 m² tot.,4 amb.,4 baños,Azucena Villaflor 500,"Puerto Madero, Capital Federal"
USD 1.000.000,,470 m² tot.,8 amb.,3 baños,Amenabar al 2000,"Belgrano, Capital Federal"
USD 12.000.000,,3367 m² tot.,5 amb.,,"SUPERI 1655. Entre Del Pino, Virrey y Av De Los Incas","Belgrano, Capital Federal"
USD 135.000,$ 7.200 Expensas,64 m² tot.,3 amb.,1 baño,Padilla 1100,"Villa Crespo, Capital Federal"
USD 140.000,$ 120.000 Expensas,63 m² tot.,3 amb.,1 baño,Quito 4300,"Caballito, Capital Federal"
USD 169.000,$ 120.560 Expensas,60 m² tot.,,1 baño,Av. Cordoba 6275,"Colegiales, Capital Federal"
USD 220.000,$ 250.000 Expensas,170 m² tot.,,3 baños,Av. Córdoba al 1500,"Barrio Norte, Capital Federal"
USD 2.100.000,$ 2.500.000 Expensas,580 m² tot.,6 amb.,3 baños,Juncal al 900 Entre Carlos Pellegrini y Suipacha,"Retiro, Capital Federal"
USD 670.000,$ 410.000 Expensas,252 m² tot.,5 amb.,4 baños,ECHEVERRIA 3200. Entre Conde y Freire,"Belgrano R, Belgrano"
USD 77.000,,28 m² tot.,1 amb.,1 baño,Av. Rivadavia 3269,"Balvanera, Capital Federal"
USD 160.000,$ 200.000 Expensas,57 m² tot.,3 amb.,1 baño,Av. Rivadavia 3275,"Almagro, Capital Federal"
USD 230.000,$ 420.000 Expensas,97 m² tot.,4 amb.,3 baños,Av. Rivadavia 3269,"Balvanera, Capital Federal"
USD 160.000,$ 66.398 Expensas,69 m² tot.,2 amb.,1 baño,FRENCH 2800. Entre Aguero y Austria,"Palermo, Capital Federal"
USD 415.000,,10 m² tot.,,,Rivadavia al 4300,"Almagro, Capital Federal"
USD 17.000,,10 m² tot.,,,Rivadavia al 4300,"Almagro, Capital Federal"
USD 155.000,,153 m² tot.,5 amb.,,Lavalle al 1600,"Tribunales, Capital Federal"
USD 97.500,$ 7.800 Expensas,65 m² tot.,1 amb.,,Lavalle al 1600,"Tribunales, Capital Federal"
USD 80.000,$ 4.000 Expensas,58 m² tot.,5 amb.,1 baño,Paraná al 700,"Recoleta, Capital Federal"
USD 72.000,$ 3.750 Expensas,36 m² tot.,1 amb.,1 baño,Libertad al 400,"Centro / Microcentro, Capital Federal"
USD 385.000,,95 m² tot.,1 amb.,1 baño,Cerviño al 4600,"Palermo, Capital Federal"
USD 194.000,$ 306.000 Expensas,46 m² tot.,2 amb.,1 baño,LA PAMPA 1500. Entre Av. Del Libertador y Av. Virre,"Belgrano, Capital Federal"
USD 228.000,$ 280.800 Expensas,46 m² tot.,2 amb.,1 baño,LA PAMPA 1500. Entre Av. Del Libertador y Av. Virre,"Belgrano, Capital Federal"
USD 2.002.000,,1218 m² tot.,,8 baños,Av- Corrientes al 1500,"San Nicolás, Capital Federal"
USD 360.000,,200 m² tot.,7 amb.,3 baños,Helguera 2279,"Villa del Parque, Capital Federal"
USD 850.000,,415 m² tot.,,2 baños,JURAMENTO 3411. Entre Superi,"Belgrano R, Belgrano"
USD 1.980.000,,1000 m² tot.,,,Excelente Oficina en Cramer al 3200,"Coghlan, Capital Federal"
USD 350.000,$ 342.923 Expensas,66 m² tot.,2 amb.,2 baños,Olga Cossettini al 1500,"Puerto Madero, Capital Federal"
USD 900.000,$ 35.000 Expensas,150 m² tot.,4 amb.,2 baños,Hermoso Departamento Piso Alto en Venta -godoy Cruz  al 3000,"Palermo, Capital Federal"
USD 2.400.000,,4454 m² tot.,,,Velez Sarsfield al 1800,"Barracas, Capital Federal"
USD 410.000,,490 m² tot.,,,Terrero 1348,"Villa General Mitre, Capital Federal"
USD 799.000,$ 1.000.000 Expensas,195 m² tot.,5 amb.,3 baños,Arribeños al 1700,"Belgrano, Capital Federal"
USD 120.000,$ 200.000 Expensas,54 m² tot.,2 amb.,1 baño,Mendez De Andes 1800,"Caballito, Capital Federal"
USD 155.000,$ 100.000 Expensas,54 m² tot.,2 amb.,1 baño,Juramento al 2700,"Belgrano, Capital Federal"
USD 169.000,,100 m² tot.,3 amb.,1 baño,Soler al 4000,"Palermo, Capital Federal"
USD 100.000,$ 300.000 Expensas,36 m² tot.,,,Florida al 800,"Centro / Microcentro, Capital Federal"
USD 2.350.000,$ 3.000.000 Expensas,360 m² tot.,5 amb.,5 baños,Azucena Villaflor 669,"Puerto Madero, Capital Federal"
USD 900.000,,420 m² tot.,12 amb.,4 baños,Agüero al 1300,"Barrio Norte, Capital Federal"
USD 615.000,,381 m² tot.,,,Pedro I. Rivera 4500,"Villa Urquiza, Capital Federal"
USD 18.500,$ 55.000 Expensas,12 m² tot.,,,Araoz 2300,"Palermo, Capital Federal"
USD 210.000,,90 m² tot.,4 amb.,1 baño,BOLIVIA 2300,"Villa del Parque, Capital Federal"
USD 186.000,$ 400.992 Expensas,49 m² tot.,1 amb.,1 baño,Basavilbaso al 1300,"Retiro, Capital Federal"
USD 160.000,$ 350.000 Expensas,92 m² tot.,5 amb.,3 baños,"RODRIGUEZ PEÑA 200. Entre Peron, Juan D., Pte.","Centro / Microcentro, Capital Federal"
USD 420.000,,403 m² tot.,4 amb.,4 baños,LUIS VIALE 219. Entre Hidaglo y Olaya,"Villa Crespo, Capital Federal"
USD 19.000,$ 60.000 Expensas,16 m² tot.,,,M. T. DE ALVEAR 1378,"Recoleta, Capital Federal"
USD 79.000,$ 110.000 Expensas,40 m² tot.,2 amb.,1 baño,Paraguay al 600,"Centro / Microcentro, Capital Federal"
USD 400.000,,263 m² tot.,,,Av. Leandro N Alem 822,"Catalinas, Retiro"
USD 1.600.000,,2772 m² tot.,,,Suipacha 366,"Centro / Microcentro, Capital Federal"
USD 101.500,,57 m² tot.,2 amb.,1 baño,Jose Gervasio de Artigas 367,"Flores, Capital Federal"
USD 2.500.000,$ 1.400.000 Expensas,300 m² tot.,5 amb.,3 baños,Seguí 3600,"Palermo, Capital Federal"
USD 116.500,,60 m² tot.,2 amb.,1 baño,Jose Gervasio de Artigas 367,"Flores, Capital Federal"
USD 111.500,,60 m² tot.,2 amb.,1 baño,Jose Gervasio de Artigas 357,"Flores Norte, Flores"
USD 182.000,,72 m² tot.,2 amb.,1 baño,Av. San Juan 239,"San Telmo, Capital Federal"
USD 19.900,,12 m² tot.,,,Cochera Bolivar 1740 Cubierta  N°06,"Barracas, Capital Federal"
USD 19.900,,12 m² tot.,,,Cochera Bolivar 1740 Cubierta  N°06,"Barracas, Capital Federal"
USD 2.400.000,$ 1.800.000 Expensas,335 m² tot.,5 amb.,4 baños,Guatemala al 5100,"Palermo Soho, Palermo"
USD 902.300,,218 m² tot.,4 amb.,4 baños,Av Pedro Goyena 251,"Caballito Sur, Caballito"
USD 490.000,$ 50.000 Expensas,78 m² tot.,3 amb.,1 baño,Azucena Villaflor al 500,"Puerto Madero, Capital Federal"
USD 106.000,,33 m² tot.,1 amb.,,Zapata 107. Entre Concepción Arenal y Santos Dumont,"Palermo, Capital Federal"
USD 99.000,,28 m² tot.,1 amb.,1 baño,"PASEO COLON, AV. 1062. Entre Carlos Calvo y Humberto Primo","San Telmo, Capital Federal"
USD 185.000,,70 m² tot.,3 amb.,,Zapata 107. Entre Concepción Arenal y Santos Dumont,"Palermo, Capital Federal"
USD 150.000,,160 m² tot.,3 amb.,1 baño,Huaura 1471,"Chacarita, Capital Federal"
USD 22.000,$ 26.000 Expensas,12 m² tot.,,,VERA 355. Entre Araoz y Julian Alvarez,"Villa Crespo, Capital Federal"
USD 20.000,$ 26.000 Expensas,12 m² tot.,,,VERA 355. Entre Araoz y Julian Alvarez,"Villa Crespo, Capital Federal"
USD 4.500.000,$ 10.835.700 Expensas,1310 m² tot.,,4 baños,Ing. Enrique Butty  al 200,"Catalinas, Retiro"
USD 940.000,,739 m² tot.,14 amb.,7 baños,Palestina al 1100,"Palermo, Capital Federal"
USD 117.000,$ 150.000 Expensas,114 m² tot.,4 amb.,2 baños,Av. Corrientes  2500,"Once, Capital Federal"
USD 820.000,$ 1.000.000 Expensas,362 m² tot.,5 amb.,3 baños,Uruguay al 1200,"Recoleta, Capital Federal"
USD 3.500.000,$ 1 Expensas,307 m² tot.,5 amb.,3 baños,Libertador  3858,"Palermo Nuevo, Palermo"
USD 210.000,,110 m² tot.,3 amb.,2 baños,Achával 584. Entre Francisco bilbao y Gregorio de laferrere,"Caballito, Capital Federal"
USD 275.000,,117 m² tot.,4 amb.,1 baño,Achával 584. Entre Francisco Bilbao y Gregorio De Laferrere,"Caballito, Capital Federal"
Consultar precio,,3568 m² tot.,,2 baños,Corrales,"Pompeya, Capital Federal"
USD 370.000,,244 m² tot.,5 amb.,2 baños,Montiel 1900,"Mataderos, Capital Federal"
USD 254.000,,57 m² tot.,1 amb.,1 baño,La Pampa 781,"Belgrano, Capital Federal"
USD 240.000,,195 m² tot.,3 amb.,1 baño,"Comuna 11, Caracas 1849, C1416aim Cdad. Autónoma de Buenos Aires","Villa General Mitre, Capital Federal"
USD 400.000,,233 m² tot.,6 amb.,2 baños,Marcelo T. de Alvear 500,"Retiro, Capital Federal"
USD 1.750.000,$ 1.600.000 Expensas,187 m² tot.,4 amb.,3 baños,Azucena Villaflor 500,"Puerto Madero, Capital Federal"
USD 160.000,$ 300.000 Expensas,57 m² tot.,3 amb.,1 baño,Av. Rivadavia 3269,"Almagro Sur, Almagro"
USD 230.000,$ 420.000 Expensas,97 m² tot.,4 amb.,3 baños,AV. RIVADAVIA 3269,"Almagro Sur, Almagro"
USD 115.000,$ 212.423 Expensas,57 m² tot.,3 amb.,1 baño,AVENIDA OLAZABAL 3400. Entre Melian y Superi,"Belgrano R, Belgrano"
USD 130.000,,47 m² tot.,2 amb.,1 baño,Avenida Mosconi 2151. Entre Gavilán y Avenida De Los Constituyentes,"Villa Pueyrredón, Capital Federal"
USD 165.000,,74 m² tot.,3 amb.,2 baños,Achával 584. Entre Francisco Bilbao y Gregorio De Laferrere,"Caballito, Capital Federal"
USD 69.500,,36 m² tot.,1 amb.,1 baño,Vallese 2176. Entre Gavilán y Granaderos,"Flores, Capital Federal"
USD 145.000,,70 m² tot.,3 amb.,2 baños,Yerbal 2177. Entre GavilÁn y Granaderos,"Flores, Capital Federal"
USD 109.000,,47 m² tot.,2 amb.,1 baño,Caaguazú 6425. Entre Cafayate y Martiniano Leguizamón,"Liniers, Capital Federal"
USD 75.000,,51 m² tot.,1 amb.,1 baño,Caaguazú 6425. Entre Cafayate y Martiniano Leguizamón,"Liniers, Capital Federal"
USD 139.000,,68 m² tot.,3 amb.,1 baño,Caaguazú 6425. Entre Cafayate y Martiniano Leguizamón,"Liniers, Capital Federal"
USD 260.000,,100 m² tot.,4 amb.,2 baños,Caaguazú 6425. Entre Cafayate y Martiniano Leguizamón,"Liniers, Capital Federal"
USD 165.000,,65 m² tot.,2 amb.,1 baño,Zapata 107. Entre Concepción Arenal y Santos Dumont,"Palermo, Capital Federal"
USD 130.000,,72 m² tot.,3 amb.,1 baño,Montes de Oca 384. Entre Ituzaingó y Uspallata,"Barracas, Capital Federal"
USD 13.500,$ 58.332 Expensas,12 m² tot.,,,Suipacha al 1300,"Retiro, Capital Federal"
USD 185.643,,48 m² tot.,2 amb.,1 baño,Weik Plaza - Juramento y Vuelta de Obligado,"Belgrano, Capital Federal"
USD 98.120,,36 m² tot.,1 amb.,1 baño,AV. Corrientes al 1900,"Balvanera, Capital Federal"
USD 385.853,,162 m² tot.,1 amb.,2 baños,Ciudad DE LA PAZ 2200,"Belgrano, Capital Federal"
USD 900.000,,500 m² tot.,7 amb.,4 baños,Agüero al 1300,"Recoleta, Capital Federal"
USD 89.000,$ 99.000 Expensas,36 m² tot.,1 amb.,1 baño,Remedios Escalada DE SAN Martín 960 11 C,"Villa Crespo, Capital Federal"
USD 10.000,$ 44.000 Expensas,10 m² tot.,,,"CESPEDES 2443. Entre Ciudad De La Paz y Cabildo, Avda.","Belgrano, Capital Federal"
USD 495.000,,810 m² tot.,7 amb.,3 baños,Tres Arroyos 1357,"Caballito Sur, Caballito"
USD 180.000,,78 m² tot.,3 amb.,2 baños,Avenida Mosconi 2885. Entre Avenida Nazca y Terrada,"Villa Pueyrredón, Capital Federal"
USD 139.000,,204 m² tot.,6 amb.,1 baño,Av.  Juan de Garay 2300,"Parque Patricios, Capital Federal"
USD 75.000,$ 151.500 Expensas,53 m² tot.,3 amb.,1 baño,HUMBERTO 1 2188. Entre Rincon y Pasco,"Constitución, Capital Federal"
USD 75.000,$ 151.500 Expensas,53 m² tot.,3 amb.,1 baño,HUMBERTO 1 2188. Entre Rincon y Pasco,"San Cristobal, Capital Federal"
USD 580.000,,471 m² tot.,5 amb.,5 baños,CAFAYATE 4300. Entre Sayos y OrdoÑez,"Villa Lugano, Capital Federal"
USD 488.490,,124 m² tot.,3 amb.,2 baños,Weik Plaza - Juramento y Vuelta de Obligado,"Belgrano, Capital Federal"
USD 133.000,$ 1 Expensas,63 m² tot.,2 amb.,1 baño,Ecuador al 500,"Abasto, Capital Federal"
USD 81.000,$ 1 Expensas,38 m² tot.,1 amb.,1 baño,Ecuador al 500,"Abasto, Capital Federal"
USD 336.000,$ 1 Expensas,160 m² tot.,4 amb.,2 baños,Ecuador al 500,"Abasto, Capital Federal"
USD 158.000,,77 m² tot.,3 amb.,1 baño,"DORREGO, AVDA. 2200. Entre Soler y Amenabar","Palermo Soho, Palermo"
USD 990.000,,167 m² tot.,,,ECUADOR 1321. Entre Av. Santa Fe y Charcas,"Recoleta, Capital Federal"
USD 350.273,,51 m² tot.,1 amb.,,Chenaut al 1800,"Las Cañitas, Palermo"
USD 145.000,,57 m² tot.,3 amb.,1 baño,Billinghurst 2162,"Barrio Norte, Capital Federal"
USD 160.000,$ 200.000 Expensas,76 m² tot.,3 amb.,2 baños,Av. Independencia 1330,"Monserrat, Capital Federal"
USD 430.000,,600 m² tot.,,,Balbastro al 800,"Parque Chacabuco, Capital Federal"
USD 210.000,,120 m² tot.,3 amb.,1 baño,Repetto 1100,"Caballito Norte, Caballito"
USD 84.500,,26 m² tot.,1 amb.,1 baño,Av. Rivadavia 3269,"Almagro Sur, Almagro"
USD 160.000,,60 m² tot.,3 amb.,1 baño,Av. Rivadavia 3269,"Balvanera, Capital Federal"
USD 219.000,,125 m² tot.,3 amb.,1 baño,ALVAREZ JONTE 6000,"Versalles, Capital Federal"
USD 350.000,,194 m² tot.,,2 baños,Paraguay  al 300,"Retiro, Capital Federal"
USD 520.000,,620 m² tot.,,7 baños,Jose Enrique Rodo al 6000,"Mataderos, Capital Federal"
USD 610.000,,365 m² tot.,,3 baños,Tucuman al 637,"Centro / Microcentro, Capital Federal"
USD 76.000,,38 m² tot.,1 amb.,1 baño,José Gervasio Artigas 367,"Flores, Capital Federal"
USD 2.600.000,$ 95.000 Expensas,271 m² tot.,4 amb.,4 baños,Alcorta 3200,"Palermo Chico, Palermo"
USD 1.350.000,$ 1.200.000 Expensas,185 m² tot.,4 amb.,4 baños,Rosario Vera Peñaloza 300,"Puerto Madero, Capital Federal"
USD 120.000,$ 4.000 Expensas,55 m² tot.,1 amb.,1 baño,Carlos Lopez 2200,"Villa Pueyrredón, Capital Federal"
USD 100.000,$ 7.200 Expensas,40 m² tot.,1 amb.,1 baño,Avenida Corrientes 6400,"Chacarita, Capital Federal"
USD 80.000,$ 150.000 Expensas,37 m² tot.,1 amb.,1 baño,Lima 1100,"San Telmo, Capital Federal"
USD 650.000,$ 2.000.000 Expensas,264 m² tot.,5 amb.,4 baños,Carlos Pellegrini 1300,"Retiro, Capital Federal"
USD 595.000,,462 m² tot.,6 amb.,5 baños,PALESTINA 1017/21. Entre Av. Estado De Israel y Rocamora,"Almagro, Capital Federal"
USD 595.000,,182 m² tot.,,,PALESTINA 1017/21. Entre Av. Estado De Israel y Rocamora,"Almagro, Capital Federal"
USD 305.000,,163 m² tot.,5 amb.,3 baños,Obispo San Alberto  al 2700,"Villa Pueyrredón, Capital Federal"
USD 795.000,$ 926.864 Expensas,407 m² tot.,7 amb.,3 baños,Austria  al 2600,"Botánico, Palermo"
USD 800.000,,170 m² tot.,4 amb.,3 baños,REPUBLICA ARABE SIRIA 3100. Entre Av. CerviÑo y Cabello,"Palermo, Capital Federal"
USD 305.000,,163 m² tot.,5 amb.,3 baños,Obispo San Alberto  al 2700,"Villa Pueyrredón, Capital Federal"
USD 223.000,,93 m² tot.,3 amb.,2 baños,Ciudad de la Paz 2478. Entre Avenida Monroe y Blanco Encalada,"Belgrano, Capital Federal"
USD 139.000,,198 m² tot.,,1 baño,Lezica 4400,"Caballito, Capital Federal"
USD 1.800.000,$ 590.000 Expensas,500 m² tot.,6 amb.,5 baños,Las Heras 1600,"Recoleta, Capital Federal"
USD 120.000,$ 52.300 Expensas,150 m² tot.,7 amb.,3 baños,Tacuari 100,"Centro / Microcentro, Capital Federal"
USD 219.000,$ 123.600 Expensas,83 m² tot.,3 amb.,1 baño,PRINGLES 635. Entre Sarmiento y Peron,"Almagro, Capital Federal"
USD 2.800.000,,2200 m² tot.,,,Rojas al 1600,"Villa Crespo, Capital Federal"
USD 790.000,$ 1.800.000 Expensas,245 m² tot.,4 amb.,4 baños,Arroyo al 800,"Retiro, Capital Federal"
USD 106.000,,226 m² tot.,5 amb.,2 baños,Echeandia al 5800 PB,"Villa Lugano, Capital Federal"
USD 550.000,,490 m² tot.,,,Otero 100,"Chacarita, Capital Federal"
USD 90.000,$ 140.000 Expensas,26 m² tot.,1 amb.,1 baño,Libertador 700,"Recoleta, Capital Federal"
USD 600.000,,439 m² tot.,,,Chorroarín 1070,"Villa Ortuzar, Capital Federal"
USD 1,,196 m² tot.,,,Juncal al 1200,"Recoleta, Capital Federal"
USD 345.000,,171 m² tot.,1 amb.,,"Lote Terreno en Catamarca al 500, Vendibles","Balvanera, Capital Federal"
USD 3.500.000,,6595 m² tot.,,,Venezuela al 3400,"Almagro, Capital Federal"
USD 147.315,,62 m² tot.,2 amb.,1 baño,Jose Cubas 3362,"Villa Devoto, Capital Federal"
USD 154.900,,57 m² tot.,1 amb.,1 baño,Junin 800,"Recoleta, Capital Federal"
USD 345.800,$ 300.000 Expensas,105 m² tot.,4 amb.,2 baños,AV Independencia al 4140,"Caballito, Capital Federal"
USD 69.898,,24 m² tot.,1 amb.,1 baño,Lavalleja 100,"Villa Crespo, Capital Federal"
USD 94.000,,43 m² tot.,1 amb.,1 baño,Av. San Juan 239,"San Telmo, Capital Federal"
USD 340.000,$ 1.140.000 Expensas,151 m² tot.,4 amb.,2 baños,Luis Maria Campos  1300,"Las Cañitas, Palermo"
USD 172.720,,61 m² tot.,2 amb.,1 baño,Díaz Vélez y Virasoro - Unidad 2A,"Caballito, Capital Federal"
USD 397.797,,88 m² tot.,3 amb.,2 baños,Campos Salles 1068/1,"Núñez, Capital Federal"
USD 395.000,,338 m² tot.,5 amb.,4 baños,CONDARCO 5000. Entre Ladines y Cabezon,"Villa Pueyrredón, Capital Federal"
